variant,model,id,gold,prediction,confidence,correct,raw
anchored_scale,gpt-5.6-luna,banking-049,card_payment_fee_charged,top_up_by_card_charge,78,0,"{""label"":""top_up_by_card_charge"",""confidence"":78}"
independent_recheck,gpt-5.6-luna,banking-052,card_payment_not_recognised,card_payment_not_recognised,88,1,"{""label"":""card_payment_not_recognised"",""confidence"":88}"
proper_score,gpt-5.6-luna,banking-166,terminate_account,terminate_account,99,1,"{""label"":""terminate_account"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-217,virtual_card_not_working,virtual_card_not_working,96,1,"{""label"":""virtual_card_not_working"",""confidence"":96}"
independent_recheck,gpt-5.6-luna,banking-202,transfer_timing,transfer_timing,98,1,"{""label"":""transfer_timing"",""confidence"":98}"
anchored_scale,gpt-5.6-luna,banking-014,atm_support,atm_support,99,1,"{""label"":""atm_support"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-196,transfer_into_account,transfer_into_account,99,1,"{""label"":""transfer_into_account"",""confidence"":99}"
top_two_mass,gpt-5.6-luna,banking-230,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,99,1,"{""label"":""wrong_exchange_rate_for_cash_withdrawal"",""confidence"":99}"
anchored_scale,gpt-5.6-luna,banking-038,card_arrival,card_arrival,96,1,"{""label"":""card_arrival"",""confidence"":96}"
top_two_mass,gpt-5.6-luna,banking-077,country_support,country_support,100,1,"{""label"":""country_support"",""confidence"":100}"
independent_recheck,gpt-5.6-luna,banking-230,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,99,1,"{""label"":""wrong_exchange_rate_for_cash_withdrawal"",""confidence"":99}"
independent_recheck,gpt-5.6-luna,banking-170,top_up_by_bank_transfer_charge,transfer_fee_charged,96,0,"{""label"":""transfer_fee_charged"",""confidence"":96}"
independent_recheck,gpt-5.6-luna,banking-151,pin_blocked,pin_blocked,99,1,"{""label"":""pin_blocked"",""confidence"":99}"
proper_score,gpt-5.6-luna,banking-023,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,98,1,"{""label"":""balance_not_updated_after_cheque_or_cash_deposit"",""confidence"":98}"
proper_score,gpt-5.6-luna,banking-181,top_up_limits,top_up_limits,99,1,"{""label"":""top_up_limits"",""confidence"":99}"
