model,id,gold,prediction,code,correct,stated_confidence,token_logprob,token_probability,top_logprobs_json,raw
gpt-5.6-luna,banking-184,top_up_reverted,top_up_reverted,O,1,95,0.0,1.0,"[{""token"":""O"",""logprob"":0.0}]",O 95
gpt-5.6-luna,banking-029,cancel_transfer,cancel_transfer,>,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":"">"",""logprob"":-3.814697265625e-06}]",> 99
gpt-5.6-luna,banking-206,unable_to_verify_identity,unable_to_verify_identity,W,1,95,0.0,1.0,"[{""token"":""W"",""logprob"":0.0}]",W 95
gpt-5.6-luna,banking-198,transfer_into_account,transfer_into_account,-,1,78,-3.0517578125e-05,0.9999694828875315,"[{""token"":""-"",""logprob"":-3.0517578125e-05}]",- 78
gpt-5.6-luna,banking-376,cash_withdrawal_charge,cash_withdrawal_charge,g,1,98,0.0,1.0,"[{""token"":""g"",""logprob"":0.0}]",g 98
gpt-5.6-luna,banking-291,beneficiary_not_allowed,exchange_via_app,g,0,72,-3.814697265625e-06,0.9999961853100103,"[{""token"":""g"",""logprob"":-3.814697265625e-06}]",g 72
gpt-5.6-luna,banking-023,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,4,1,92,-2.288818359375e-05,0.9999771120783387,"[{""token"":""4"",""logprob"":-2.288818359375e-05}]",4 92
gpt-5.6-luna,banking-457,exchange_charge,exchange_charge,j,1,96,0.0,1.0,"[{""token"":""j"",""logprob"":0.0}]",j 96
gpt-5.6-luna,banking-751,why_verify_identity,why_verify_identity,m,1,85,0.0,1.0,"[{""token"":""m"",""logprob"":0.0}]",m 85
gpt-5.6-luna,banking-564,pending_cash_withdrawal,pending_cash_withdrawal,I,1,90,0.0,1.0,"[{""token"":""I"",""logprob"":0.0}]",I 90
gpt-5.6-luna,banking-079,declined_card_payment,declined_card_payment,6,1,92,0.0,1.0,"[{""token"":""6"",""logprob"":0.0}]",6 92
gpt-5.6-luna,banking-327,card_delivery_estimate,card_delivery_estimate,!,1,85,-3.814697265625e-05,0.9999618537549303,"[{""token"":""!"",""logprob"":-3.814697265625e-05}]",! 85
gpt-5.6-luna,banking-037,card_arrival,card_arrival,>,1,85,-0.00017547607421875,0.9998245393208071,"[{""token"":"">"",""logprob"":-0.00017547607421875}]",> 85
gpt-5.6-luna,banking-713,unable_to_verify_identity,unable_to_verify_identity,J,1,85,-0.06808853149414062,0.9341777657627485,"[{""token"":""J"",""logprob"":-0.06808853149414062},{""token"":""4"",""logprob"":-2.7214508056640625}]",J 85
gpt-5.6-luna,banking-060,card_swallowed,card_swallowed,i,1,99,0.0,1.0,"[{""token"":""i"",""logprob"":0.0}]",i 99
gpt-5.6-luna,banking-062,cash_withdrawal_charge,cash_withdrawal_charge,=,1,99,3.814697265625e-06,1.0000038147045416,"[{""token"":""="",""logprob"":3.814697265625e-06}]",= 99
gpt-5.6-luna,banking-589,receiving_money,fiat_currency_support,:,0,78,-0.03199005126953125,0.9685162175380702,"[{""token"":"":"",""logprob"":-0.03199005126953125},{""token"":""g"",""logprob"":-3.4638748168945312}]",: 78
gpt-5.6-luna,banking-083,declined_cash_withdrawal,declined_cash_withdrawal,K,1,96,3.814697265625e-06,1.0000038147045416,"[{""token"":""K"",""logprob"":3.814697265625e-06}]",K 96
gpt-5.6-luna,banking-616,supported_cards_and_currencies,supported_cards_and_currencies,=,1,99,0.0,1.0,"[{""token"":""="",""logprob"":0.0}]",= 99
