model_key,model_requested,model_returned,id,gold,prediction,correct,confidence,reported_confidence,input_tokens,output_tokens,reasoning_tokens,cost,latency_s,generation_id,provider
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-006,activate_my_card,activate_my_card,1,1.0,1,1706,827,0,7.1652e-05,0.3601430429989705,gen-dec-1789699101-GDF7CewPhCy18LZP9HIu,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-010,apple_pay_or_google_pay,top_up_failed,0,0.47000000000000003,0.46,1710,827,0,7.182e-05,0.43686170799992396,gen-dec-1789699098-3VrKmitNRJglZZnQNoGn,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-027,beneficiary_not_allowed,transfer_into_account,0,0.63,0.62,1703,827,0,7.1526e-05,0.40178452100008144,gen-dec-1789699101-y2CbqQ6csft5IRaLtMH5,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-032,card_about_to_expire,card_about_to_expire,1,1.0,0.99,1706,829,0,7.1652e-05,0.3581013980001444,gen-dec-1789699098-FyqtcNV2qgG1GFD3270Y,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-044,card_linking,activate_my_card,0,0.55,0.53,1709,827,0,7.1778e-05,0.34739030999844545,gen-dec-1789699100-yIJW4xwUSM8nGVGknDNM,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-047,card_not_working,card_not_working,1,1.0,1,1706,829,0,7.1652e-05,1.307144796999637,gen-dec-1789699097-TzFDQQzrZNi8Ud5gb6if,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-055,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,1,1.0,1,1703,829,0,7.1526e-05,0.34711531799985096,gen-dec-1789699099-Rcp2vZ2CQd9V1xxul1xN,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-063,cash_withdrawal_charge,cash_withdrawal_charge,1,1.0,1,1764,830,0,7.4088e-05,0.3404764029983198,gen-dec-1789699100-g7WCD8zf6ug8Bcgwsu1H,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-098,exchange_charge,exchange_charge,1,0.86,0.85,1710,826,0,7.182e-05,0.3445773720013676,gen-dec-1789699099-YXpGXtd51Xfd7Gg2s9gK,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-105,exchange_via_app,fiat_currency_support,0,0.6,0.58,1706,828,0,7.1652e-05,0.37891255999784335,gen-dec-1789699100-OyFNqmfuISJnRoZypko9,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-111,failed_transfer,failed_transfer,1,0.92,0.91,1711,826,0,7.1862e-05,0.8237205959994753,gen-dec-1789699097-TWPi3ZqsbB3MMPzdiLAY,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-120,get_physical_card,change_pin,0,0.59,0.57,1700,826,0,7.14e-05,0.36596435500177904,gen-dec-1789699099-4JH7F4uJeDEIxozexQ8U,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-122,getting_spare_card,getting_spare_card,1,0.97,0.96,1702,828,0,7.1484e-05,0.40046442699895124,gen-dec-1789699100-HxoeBAWi8G7b0sCpNuw1,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-136,passcode_forgotten,passcode_forgotten,1,0.95,0.95,1707,829,0,7.1694e-05,0.3737204989993188,gen-dec-1789699099-q88BXaEBOTqIfidkUf29,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-153,pin_blocked,pin_blocked,1,0.77,0.76,1700,828,0,7.14e-05,0.4565612219994364,gen-dec-1789699098-x9ephk5ATg4EhpCaicQL,TypeSafe
jev,~typesafe/jev-latest,typesafe/jev-1.13-20260917,banking-157,request_refund,reverted_card_payment?,0,0.53,0.52,1705,830,0,7.161e-05,0.8163161200027389,gen-dec-1789699099-bp6ZVDQMS9ARJ5fTB3mF,TypeSafe
