model,id,gold,prediction,code,correct,stated_confidence,token_logprob,token_probability,top_logprobs_json,raw
gpt-5.6-luna,banking-144,pending_cash_withdrawal,pending_cash_withdrawal,J,1,55,-3.4332275390625e-05,0.9999656683139552,"[{""token"":""J"",""logprob"":-3.4332275390625e-05}]",J 55
gpt-5.6-luna,banking-661,top_up_reverted,transaction_charged_twice,:,0,92,-0.00037384033203125,0.9996262295375588,"[{""token"":"":"",""logprob"":-0.00037384033203125}]",: 92
gpt-5.6-luna,banking-727,verify_source_of_funds,verify_source_of_funds,p,1,92,-3.814697265625e-06,0.9999961853100103,"[{""token"":""p"",""logprob"":-3.814697265625e-06}]",p 92
gpt-5.6-luna,banking-056,card_payment_wrong_exchange_rate,card_payment_wrong_exchange_rate,/,1,98,0.0,1.0,"[{""token"":""/"",""logprob"":0.0}]",/ 98
gpt-5.6-luna,banking-635,top_up_by_card_charge,top_up_by_card_charge,6,1,96,0.0,1.0,"[{""token"":""6"",""logprob"":0.0}]",6 96
gpt-5.6-luna,banking-162,reverted_card_payment?,reverted_card_payment?,r,1,92,3.814697265625e-06,1.0000038147045416,"[{""token"":""r"",""logprob"":3.814697265625e-06}]",r 92
gpt-5.6-luna,banking-043,card_linking,card_linking,U,1,98,0.0,1.0,"[{""token"":""U"",""logprob"":0.0}]",U 98
gpt-5.6-luna,banking-355,card_payment_not_recognised,compromised_card,W,0,78,-0.000133514404296875,0.9998664945083545,"[{""token"":""W"",""logprob"":-0.000133514404296875}]",W 78
gpt-5.6-luna,banking-763,wrong_amount_of_cash_received,wrong_amount_of_cash_received,C,1,98,3.814697265625e-06,1.0000038147045416,"[{""token"":""C"",""logprob"":3.814697265625e-06}]",C 98
gpt-5.6-luna,banking-034,card_acceptance,card_acceptance,a,1,98,0.0,1.0,"[{""token"":""a"",""logprob"":0.0}]",a 98
gpt-5.6-luna,banking-569,pending_top_up,pending_top_up,:,1,78,-0.111297607421875,0.8946724481437368,"[{""token"":"":"",""logprob"":-0.111297607421875},{""token"":""K"",""logprob"":-2.3912506103515625}]",: 78
gpt-5.6-luna,banking-538,lost_or_stolen_phone,lost_or_stolen_phone,V,1,99,0.0,1.0,"[{""token"":""V"",""logprob"":0.0}]",V 99
gpt-5.6-luna,banking-097,exchange_charge,exchange_charge,S,1,96,0.0,1.0,"[{""token"":""S"",""logprob"":0.0}]",S 96
gpt-5.6-luna,banking-107,extra_charge_on_statement,extra_charge_on_statement,a,1,98,0.0,1.0,"[{""token"":""a"",""logprob"":0.0}]",a 98
gpt-5.6-luna,banking-716,verify_my_identity,verify_my_identity,4,1,85,3.814697265625e-06,1.0000038147045416,"[{""token"":""4"",""logprob"":3.814697265625e-06}]",4 85
gpt-5.6-luna,banking-573,pending_top_up,top_up_failed,u,0,85,0.0,1.0,"[{""token"":""u"",""logprob"":0.0}]",u 85
gpt-5.6-luna,banking-546,order_physical_card,get_physical_card,U,0,95,-0.0258941650390625,0.9744382137818732,"[{""token"":""U"",""logprob"":-0.0258941650390625},{""token"":""Z"",""logprob"":-3.666675567626953}]",U 95
gpt-5.6-luna,banking-171,top_up_by_bank_transfer_charge,transfer_fee_charged,l,0,92,-0.021575927734375,0.9786551675784838,"[{""token"":""l"",""logprob"":-0.021575927734375},{""token"":""j"",""logprob"":-3.8473243713378906}]",l 92
gpt-5.6-luna,banking-656,top_up_limits,top_up_limits,8,1,99,0.0,1.0,"[{""token"":""8"",""logprob"":0.0}]",8 99
gpt-5.6-luna,banking-583,pin_blocked,pin_blocked,k,1,99,0.0,1.0,"[{""token"":""k"",""logprob"":0.0}]",k 99
gpt-5.6-luna,banking-718,verify_my_identity,verify_my_identity,p,1,98,-3.814697265625e-06,0.9999961853100103,"[{""token"":""p"",""logprob"":-3.814697265625e-06}]",p 98
gpt-5.6-luna,banking-296,cancel_transfer,cancel_transfer,-,1,99,0.0,1.0,"[{""token"":""-"",""logprob"":0.0}]",- 99
gpt-5.6-luna,banking-725,verify_source_of_funds,verify_source_of_funds,p,1,98,0.0,1.0,"[{""token"":""p"",""logprob"":0.0}]",p 98
gpt-5.6-luna,banking-758,wrong_amount_of_cash_received,wrong_amount_of_cash_received,?,1,99,0.0,1.0,"[{""token"":""?"",""logprob"":0.0}]",? 99
gpt-5.6-luna,banking-073,contactless_not_working,contactless_not_working,n,1,99,0.0,1.0,"[{""token"":""n"",""logprob"":0.0}]",n 99
gpt-5.6-luna,banking-759,wrong_amount_of_cash_received,wrong_amount_of_cash_received,u,1,99,0.0,1.0,"[{""token"":""u"",""logprob"":0.0}]",u 99
gpt-5.6-luna,banking-230,wrong_exchange_rate_for_cash_withdrawal,wrong_exchange_rate_for_cash_withdrawal,/,1,99,-3.814697265625e-06,0.9999961853100103,"[{""token"":""/"",""logprob"":-3.814697265625e-06}]",/ 99
gpt-5.6-luna,banking-005,activate_my_card,activate_my_card,b,1,99,0.0,1.0,"[{""token"":""b"",""logprob"":0.0}]",b 99
gpt-5.6-luna,banking-652,top_up_limits,top_up_limits,5,1,99,0.0,1.0,"[{""token"":""5"",""logprob"":0.0}]",5 99
gpt-5.6-luna,banking-507,get_physical_card,change_pin,S,0,85,-0.1598968505859375,0.8522316916322165,"[{""token"":""S"",""logprob"":-0.1598968505859375},{""token"":""B"",""logprob"":-1.9124336242675781}]",S 85
gpt-5.6-luna,banking-400,contactless_not_working,contactless_not_working,L,1,99,0.0,1.0,"[{""token"":""L"",""logprob"":0.0}]",L 99
