id,text,category
banking-016,How can I top up automatically?,automatic_top_up
banking-209,What things do I need to verify my identity?,verify_my_identity
banking-079,I'm really stuck. I don't know why but my card payment has not gone through.,declined_card_payment
banking-214,Is it normal to have to verify my top-up or is something wrong?,verify_top_up
banking-078,What countries are you currently in?,country_support
banking-106,Can you explain what this random $1 charge is?,extra_charge_on_statement
banking-183,how much can i top up?,top_up_limits
banking-145,What would lead to my top up still pending?,pending_top_up
banking-009,How do I open up an account for my child?,age_limit
banking-008,Do you offer services for children to have money saving experience?,age_limit
banking-189,"I am missing some funds from my account - I tried to transfer them using my credit card number, and it disappeared.",topping_up_by_card
banking-105,"I think I want AUD and not GBP, can you help?",exchange_via_app
banking-213,Where can I find the source of my available money?,verify_source_of_funds
banking-043,Where do I link the new card?,card_linking
banking-171,What'll it charge me for a SEPA transfer?,top_up_by_bank_transfer_charge
banking-220,Do you do Visa or Mastercard?,visa_or_mastercard
banking-168,Can you tell me how to close my account?,terminate_account
banking-020,I made a transfer a few hours ago from a UK banking account.  I do not yet see the transfer.  Please check on this for me.,balance_not_updated_after_bank_transfer
banking-051,There is an unauthorized fee.,card_payment_fee_charged
banking-064,"There is an error, the app says I made an ATM withdrawal and I didn't.",cash_withdrawal_not_recognised
banking-039,Where is the tracking number for the card you sent me?,card_arrival
banking-120,I cannot locate the card PIN.,get_physical_card
banking-041,I need my card to come as soon as possible.,card_delivery_estimate
banking-202,If my transfer is from Europe how long will it take?,transfer_timing
banking-184,My top-up was cancelled; will I receive a refund?,top_up_reverted
banking-110,help me with my transfer,failed_transfer
banking-055,I believe my card payment exchange rate is incorrect.,card_payment_wrong_exchange_rate
banking-075,Fix my contactless,contactless_not_working
banking-192,It appears that I am being double charged for some items that I have purchased this past week.  Please review and correct.,transaction_charged_twice
banking-071,"I don't recognize some of the transactions on my card, I think someone must have gotten my card info and used it.",compromised_card
banking-174,Any fee for topping up?,top_up_by_card_charge
banking-188,Can I give my friends access to my account so they can top it up for me?,topping_up_by_card
banking-118,Is my PIN located on my account somewhere?,get_physical_card
banking-108,Why was I overcharged a pound!?,extra_charge_on_statement
banking-094,I need to update my current address,edit_personal_details
banking-062,Why is there a charge on my account for taking out cash?,cash_withdrawal_charge
banking-231,Can I make a withdraw if I am out of country from with out any fees at an ATM?,wrong_exchange_rate_for_cash_withdrawal
banking-037,My card still hasn't arrived after 2 weeks. Is it lost?,card_arrival
banking-032,"I need a new card, my current card is nearly expired.",card_about_to_expire
banking-099,Do I have to pay for exchanging currencies?,exchange_charge
banking-018,Can I have it add money automatically in certain intervals?,automatic_top_up
banking-138,What steps do I take to receive another passcode?,passcode_forgotten
banking-006,I would like to get help from someone with activating my card.,activate_my_card
banking-061,Is there a fee for withdrawing cash?,cash_withdrawal_charge
banking-137,What should I do if I forgot my passcode?,passcode_forgotten
banking-011,Is it possible to use Apple Pay to put money in my account?,apple_pay_or_google_pay
banking-082,Why was I declined getting cash?,declined_cash_withdrawal
banking-019,Hello I made a bank transfer couple hours ago from my UK account but it doesn't show up yet. Can you please check if everything is alright with it?,balance_not_updated_after_bank_transfer
banking-028,My transaction needs to be canceled.,cancel_transfer
banking-219,My card is just not working at this time.,virtual_card_not_working
banking-155,Do I need to establish I am paid in GBP before a transfer?,receiving_money
banking-182,As for limits are top ups included?,top_up_limits
banking-058,Is there a way I can get my ATM card back from the machine?,card_swallowed
banking-140,I am seeing pending from the card payment I made.,pending_card_payment
banking-049,What fees apply when using a card?,card_payment_fee_charged
banking-048,How do I unblock my card using the app?,card_not_working
banking-067,I need to change my pin but I am on the road.,change_pin
banking-091,How many disposable cards is the limit?,disposable_card_limits
banking-040,What's the U.S. Delivery time?,card_delivery_estimate
banking-022,What happened to the cash that I tried to deposit into my account? It's gone!,balance_not_updated_after_cheque_or_cash_deposit
banking-069,I'd like to make a new PIN selection.,change_pin
banking-053,Some of my card payments look different than where I purchased products from. Why is that?,card_payment_not_recognised
banking-100,Will I get a curreng foreign exchange rate?,exchange_rate
banking-123,I'd like to have another card,getting_spare_card
banking-129,Help! Someone stole my card!,lost_or_stolen_card
banking-180,The app denied my topped up.,top_up_failed
banking-185,It seems my top up is reverted?,top_up_reverted
banking-081,Can you look at my account ans see why my card was declined,declined_card_payment
banking-175,Can you help me find top up by cash deposit?,top_up_by_cash_or_cheque
banking-007,how old do i need to be to get an account for myself,age_limit
banking-221,I want to get Visa and Mastercard,visa_or_mastercard
banking-086,The card got declined twice when I tried to use it to buy something online yesterday.,declined_transfer
banking-005,"I received my new card, how is it activated?",activate_my_card
banking-158,Can I have an item refunded?,request_refund
banking-096,My address needs to be revised.,edit_personal_details
banking-153,Will you reinstate my PIN?,pin_blocked
banking-072,What do I do if I think someone managed to get my card information?,compromised_card
banking-073,It didnt work when I tried to pay contactless at the bus today. Why?,contactless_not_working
banking-144,"What's a pending transaction? My card was declined at an ATM, but my account says it's still pending. Can I cancel the payment?",pending_cash_withdrawal
banking-124,Are virtual cards available to get?,getting_virtual_card
banking-130,"My phone was stolen, what do I do?",lost_or_stolen_phone
banking-194,I need someone to alert me as to what's going on. I had transferred an amount but the receiver is saying that the amount is somewhat less than what I sent over. I now have to make another transfer to make up the difference.,transfer_fee_charged
banking-063,"Hi, I am calling about a recent transaction that has happened on my account.  I recently went to the ATM, and tried to make a withdrawal on my account.  I just happened to check my transaction slip and noticed a fee for my withdrawal.  How can I resolve this, I didn't know fees were charged for this type of action.",cash_withdrawal_charge
banking-230,"When I got cash, my exchange rate was wrong.",wrong_exchange_rate_for_cash_withdrawal
banking-119,what is the process for setting up a pin,get_physical_card
banking-070,"I see random purchases to my account, was it hacked?",compromised_card
banking-204,How long will it take for the transfer to reach my account?,transfer_timing
banking-210,What do you need to verify my identity?,verify_my_identity
banking-034,Do you know where my card will be accepted?,card_acceptance
banking-218,virtual card is not working for me,virtual_card_not_working
banking-195,I got 2 transfer fees and I thought transfers were free.,transfer_fee_charged
banking-112,"In terms of holding and exchange, what fiat currencies do you use.",fiat_currency_support
banking-015,Help me locate the nearest ATM.,atm_support
banking-084,Why was my cash withdrawal declined?,declined_cash_withdrawal
banking-176,Can I top up by cheque?,top_up_by_cash_or_cheque
banking-207,I am having difficulties to verify my identity.,unable_to_verify_identity
banking-092,How many times can I use the disposable virtual card I have?,disposable_card_limits
banking-200,Is there a reason why my transaction is taking so long?,transfer_not_received_by_recipient
banking-211,Why do you need all this information about my Source of Funds?,verify_source_of_funds
banking-054,In my statement there is a payment that is I do not recognize,card_payment_not_recognised
banking-114,What fiat currencies are used for holding transactions?,fiat_currency_support
banking-113,Can I exchange currencies?,fiat_currency_support
banking-012,is apple pay costly?,apple_pay_or_google_pay
banking-131,I can't find my phone.,lost_or_stolen_phone
banking-196,I need to transfer funds into my account. How can I do this?,transfer_into_account
banking-068,I need a new PIN.,change_pin
banking-056,The wrong exchange rate was used when I bought something with a foriegn currency.,card_payment_wrong_exchange_rate
banking-045,"I received my new card, but I don't see it in the app anywhere.  What do I do?",card_linking
banking-147,What does it mean when my top up is saying  still pending?,pending_top_up
banking-087,"When I submit a transfer, it is being declined.  The information I put in has been reviewed.",declined_transfer
banking-206,It is impossible to verify my identity,unable_to_verify_identity
banking-013,What ATMs can I withdraw money from?,atm_support
banking-172,What are the fees for top ups?,top_up_by_card_charge
banking-095,My address has changed.,edit_personal_details
banking-226,I tried to get $100 but I just got $20,wrong_amount_of_cash_received
banking-148,My transfer is still pending and I know the account numbers are correct.  Please help.,pending_transfer
banking-115,I just purchased a disposable virtual card. Am I able to use it for online purchases immediately?,get_disposable_virtual_card
banking-216,What are the benefits to verifying the top-up?,verify_top_up
banking-201,I need to find out why my transfer didn't get there.,transfer_not_received_by_recipient
banking-133,I want to order a card. Where do you deliver to?,order_physical_card
banking-014,How can I find the nearest ATM?,atm_support
banking-098,"I will need to exchange currencies frequently, will I be able to get a discount?",exchange_charge
banking-177,Will you accept a cheque to top up my account?,top_up_by_cash_or_cheque
banking-097,How much will I pay to exchange foreign currency?,exchange_charge
banking-002,There's a refund missing from my statement,Refund_not_showing_up
banking-136,I need to reset my passcode. How do I do it?,passcode_forgotten
banking-109,"I transferred my funds, why did it not go through?",failed_transfer
banking-001,"I need help. I asked for a refund from a merchant a while ago, but I have not gotten my money back. I keep checking my account, but nothing is showing up. What should I do now?",Refund_not_showing_up
banking-149,Someone transferred money to me and it doesn't show,pending_transfer
banking-089,Can I dispute a payment even if I notice it several weeks after it was made?,direct_debit_payment_not_recognised
banking-122,Am I able to get a second card?,getting_spare_card
banking-029,Cancel my last transfer,cancel_transfer
banking-059,My ATM got stuck and I'm not sure what to do.,card_swallowed
banking-193,Why am I seeing a transfer fee?,transfer_fee_charged
banking-102,Is it a good time to exchange?,exchange_rate
banking-083,Can you tell me why you won't let me get my own money out of the money machine? I know I used the right PIN.,declined_cash_withdrawal
banking-151,What should I do if I've tried to enter my PIN too often?,pin_blocked
banking-031,When my card expires do you send a new card?,card_about_to_expire
banking-167,"Your service is terrible,.  Delete my account,",terminate_account
banking-181,Tell me if there are any top-up limits?,top_up_limits
banking-142,I'm not quite understanding why my cash withdrawal is showing as pending.,pending_cash_withdrawal
banking-141,My card payment is pending.,pending_card_payment
banking-208,What can I do to verify my identity?,verify_my_identity
banking-159,Can I have a refund?,request_refund
banking-004,What are the steps to activating a new card?,activate_my_card
banking-139,I have a pending payment in my account that I paid a while back ago and it still hasnt gone through. Why would it show pending for so long?,pending_card_payment
banking-025,Why did I receive an error message saying that my transfer was not possible?,beneficiary_not_allowed
banking-198,Can I do a bank transfer to put additional money in my account because I am out of money?,transfer_into_account
banking-163,Are US credit cards accepted?,supported_cards_and_currencies
banking-066,My account has a weird withdrawal.,cash_withdrawal_not_recognised
banking-024,The balance on my account wasn't updated after I made a depost.,balance_not_updated_after_cheque_or_cash_deposit
banking-154,How can someone send me money?,receiving_money
banking-121,Is there a fee for extra cards?,getting_spare_card
banking-160,Can you tell my why my card payment has been reverted.,reverted_card_payment?
