model,prompt,better,worse,same,score_pct,p_value
amazon/nova-lite-v1,Bullying,0,0,10,0.0,1.0
amazon/nova-lite-v1,Curious,3,0,7,30.0,0.25
amazon/nova-lite-v1,Emotion,0,0,10,0.0,1.0
amazon/nova-lite-v1,Expert,0,0,10,0.0,1.0
amazon/nova-lite-v1,Fear,1,0,9,10.0,1.0
amazon/nova-lite-v1,Incentive,2,0,8,20.0,0.5
amazon/nova-lite-v1,Polite,2,0,8,20.0,0.5
amazon/nova-lite-v1,Praise,0,1,9,-10.0,1.0
amazon/nova-lite-v1,Reasoning,2,0,8,20.0,0.5
amazon/nova-lite-v1,Shaming,0,0,10,0.0,1.0
amazon/nova-micro-v1,Bullying,0,0,10,0.0,1.0
amazon/nova-micro-v1,Curious,0,1,9,-10.0,1.0
amazon/nova-micro-v1,Emotion,0,0,10,0.0,1.0
amazon/nova-micro-v1,Expert,1,0,9,10.0,1.0
amazon/nova-micro-v1,Fear,0,1,9,-10.0,1.0
amazon/nova-micro-v1,Incentive,1,1,8,0.0,1.0
amazon/nova-micro-v1,Polite,0,1,9,-10.0,1.0
amazon/nova-micro-v1,Praise,0,1,9,-10.0,1.0
amazon/nova-micro-v1,Reasoning,0,1,9,-10.0,1.0
amazon/nova-micro-v1,Shaming,0,0,10,0.0,1.0
amazon/nova-pro-v1,Bullying,0,2,7,-22.22,0.5
amazon/nova-pro-v1,Curious,0,1,9,-10.0,1.0
amazon/nova-pro-v1,Emotion,0,1,9,-10.0,1.0
amazon/nova-pro-v1,Expert,0,2,8,-20.0,0.5
amazon/nova-pro-v1,Fear,1,0,9,10.0,1.0
amazon/nova-pro-v1,Incentive,0,0,10,0.0,1.0
amazon/nova-pro-v1,Polite,0,1,9,-10.0,1.0
amazon/nova-pro-v1,Praise,0,0,10,0.0,1.0
amazon/nova-pro-v1,Reasoning,0,0,10,0.0,1.0
amazon/nova-pro-v1,Shaming,1,1,8,0.0,1.0
anthropic/claude-3-haiku,Bullying,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Curious,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Emotion,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Expert,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Fear,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Incentive,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Polite,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Praise,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Reasoning,0,0,10,0.0,1.0
anthropic/claude-3-haiku,Shaming,0,0,10,0.0,1.0
anthropic/claude-3-opus,Bullying,0,3,7,-30.0,0.25
anthropic/claude-3-opus,Curious,0,1,9,-10.0,1.0
anthropic/claude-3-opus,Emotion,0,3,7,-30.0,0.25
anthropic/claude-3-opus,Expert,1,3,6,-20.0,0.625
anthropic/claude-3-opus,Fear,0,2,8,-20.0,0.5
anthropic/claude-3-opus,Incentive,0,3,7,-30.0,0.25
anthropic/claude-3-opus,Polite,0,3,7,-30.0,0.25
anthropic/claude-3-opus,Praise,0,1,9,-10.0,1.0
anthropic/claude-3-opus,Reasoning,0,1,9,-10.0,1.0
anthropic/claude-3-opus,Shaming,0,2,8,-20.0,0.5
anthropic/claude-3-sonnet,Bullying,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Curious,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Emotion,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Expert,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Fear,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Incentive,1,0,9,10.0,1.0
anthropic/claude-3-sonnet,Polite,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Praise,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Reasoning,0,0,10,0.0,1.0
anthropic/claude-3-sonnet,Shaming,0,2,8,-20.0,0.5
anthropic/claude-3.5-haiku,Bullying,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Curious,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Emotion,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Expert,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Fear,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Incentive,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Polite,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Praise,0,0,10,0.0,1.0
anthropic/claude-3.5-haiku,Reasoning,1,0,9,10.0,1.0
anthropic/claude-3.5-haiku,Shaming,1,0,9,10.0,1.0
anthropic/claude-3.5-sonnet,Bullying,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Curious,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Emotion,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Expert,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Fear,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Incentive,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Polite,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Praise,0,0,10,0.0,1.0
anthropic/claude-3.5-sonnet,Reasoning,1,0,9,10.0,1.0
anthropic/claude-3.5-sonnet,Shaming,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Bullying,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Curious,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Emotion,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Expert,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Fear,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Incentive,0,0,10,0.0,1.0
anthropic/claude-3.7-sonnet,Polite,0,0,10,0.0,1.0
