variant,model,id,gold,prediction,confidence,correct,raw
frequency_calibrated,gpt-5.6-luna,banking-705,transfer_timing,transfer_timing,98,1,"{""label"":""transfer_timing"",""confidence"":98}"
strongest_alternative,gpt-5.6-luna,banking-653,top_up_limits,top_up_limits,99,1,"{""label"":""top_up_limits"",""confidence"":99}"
frequency_calibrated,gpt-5.6-luna,banking-391,change_pin,change_pin,100,1,"{""label"":""change_pin"",""confidence"":100}"
strongest_alternative,gpt-5.6-luna,banking-213,verify_source_of_funds,verify_source_of_funds,88,1,"{""label"":""verify_source_of_funds"",""confidence"":88}"
frequency_calibrated,gpt-5.6-luna,banking-300,cancel_transfer,cancel_transfer,78,1,"{""label"":""cancel_transfer"",""confidence"":78}"
uncertainty_ok,gpt-5.6-luna,banking-138,passcode_forgotten,passcode_forgotten,96,1,"{""label"":""passcode_forgotten"",""confidence"":96}"
uncertainty_ok,gpt-5.6-luna,banking-009,age_limit,age_limit,96,1,"{""label"":""age_limit"",""confidence"":96}"
uncertainty_ok,gpt-5.6-luna,banking-350,card_payment_fee_charged,top_up_by_card_charge,48,0,"{""label"":""top_up_by_card_charge"",""confidence"":48}"
strongest_alternative,gpt-5.6-luna,banking-154,receiving_money,receiving_money,98,1,"{""label"":""receiving_money"",""confidence"":98}"
strongest_alternative,gpt-5.6-luna,banking-022,balance_not_updated_after_cheque_or_cash_deposit,balance_not_updated_after_cheque_or_cash_deposit,96,1,"{""label"":""balance_not_updated_after_cheque_or_cash_deposit"",""confidence"":96}"
frequency_calibrated,gpt-5.6-luna,banking-265,atm_support,atm_support,98,1,"{""label"":""atm_support"",""confidence"":98}"
strongest_alternative,gpt-5.6-luna,banking-216,verify_top_up,verify_top_up,98,1,"{""label"":""verify_top_up"",""confidence"":98}"
frequency_calibrated,gpt-5.6-luna,banking-182,top_up_limits,top_up_limits,98,1,"{""label"":""top_up_limits"",""confidence"":98}"
strongest_alternative,gpt-5.6-luna,banking-161,reverted_card_payment?,reverted_card_payment?,94,1,"{""label"":""reverted_card_payment?"",""confidence"":94}"
frequency_calibrated,gpt-5.6-luna,banking-732,verify_top_up,verify_top_up,98,1,"{""label"":""verify_top_up"",""confidence"":98}"
strongest_alternative,gpt-5.6-luna,banking-010,apple_pay_or_google_pay,supported_cards_and_currencies,88,0,"{""label"":""supported_cards_and_currencies"",""confidence"":88}"
uncertainty_ok,gpt-5.6-luna,banking-379,cash_withdrawal_not_recognised,cash_withdrawal_not_recognised,93,1,"{""label"":""cash_withdrawal_not_recognised"",""confidence"":93}"
strongest_alternative,gpt-5.6-luna,banking-206,unable_to_verify_identity,unable_to_verify_identity,99,1,"{""label"":""unable_to_verify_identity"",""confidence"":99}"
uncertainty_ok,gpt-5.6-luna,banking-256,apple_pay_or_google_pay,apple_pay_or_google_pay,97,1,"{""label"":""apple_pay_or_google_pay"",""confidence"":97}"
uncertainty_ok,gpt-5.6-luna,banking-006,activate_my_card,activate_my_card,99,1,"{""label"":""activate_my_card"",""confidence"":99}"
frequency_calibrated,gpt-5.6-luna,banking-394,compromised_card,compromised_card,99,1,"{""label"":""compromised_card"",""confidence"":99}"
