model,condition,id,gold,prediction,confidence,correct,request_words,padding_words,raw
gpt-4.1-nano,short,banking-071,compromised_card,compromised_card,85,1,23,0,"{""label"": ""compromised_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-343,card_not_working,card_not_working,85,1,7,0,"{""label"": ""card_not_working"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-300,cancel_transfer,reverted_card_payment?,70,0,12,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-354,card_payment_not_recognised,card_payment_not_recognised,85,1,7,0,"{""label"": ""card_payment_not_recognised"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-209,verify_my_identity,verify_my_identity,95,1,9,0,"{""label"": ""verify_my_identity"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-572,pending_top_up,top_up_failed,85,0,8,0,"{""label"": ""top_up_failed"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-013,atm_support,atm_support,85,1,7,0,"{""label"": ""atm_support"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-654,top_up_limits,top_up_limits,95,1,7,0,"{""label"": ""top_up_limits"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-350,card_payment_fee_charged,card_payment_fee_charged,85,1,11,0,"{   ""label"": ""card_payment_fee_charged"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-600,request_refund,cancel_transfer,70,0,5,0,"{   ""label"": ""cancel_transfer"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-482,extra_charge_on_statement,extra_charge_on_statement,95,1,16,0,"{   ""label"": ""extra_charge_on_statement"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-273,automatic_top_up,automatic_top_up,85,1,14,0,"{""label"": ""automatic_top_up"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-167,terminate_account,terminate_account,85,1,7,0,"{   ""label"": ""terminate_account"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-496,fiat_currency_support,pending_transfer,70,0,13,0,"{""label"": ""pending_transfer"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-731,verify_top_up,verify_top_up,85,1,8,0,"{""label"": ""verify_top_up"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-651,top_up_failed,top_up_failed,70,1,8,0,"{""label"": ""top_up_failed"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-201,transfer_not_received_by_recipient,pending_transfer,70,0,12,0,"{""label"": ""pending_transfer"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-018,automatic_top_up,automatic_top_up,85,1,10,0,"{""label"": ""automatic_top_up"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-328,card_delivery_estimate,card_delivery_estimate,85,1,12,0,"{""label"": ""card_delivery_estimate"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-226,wrong_amount_of_cash_received,balance_not_updated_after_bank_transfer,85,0,10,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-289,beneficiary_not_allowed,reverted_card_payment?,10,0,8,0,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 10 }"
gpt-4.1-nano,short,banking-067,change_pin,change_pin,95,1,12,0,"{""label"": ""change_pin"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-405,contactless_not_working,contactless_not_working,95,1,16,0,"{   ""label"": ""contactless_not_working"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-544,order_physical_card,order_physical_card,85,1,6,0,"{""label"": ""order_physical_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-290,beneficiary_not_allowed,failed_transfer,85,0,14,0,"{""label"": ""failed_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-335,card_linking,card_linking,85,1,11,0,"{""label"": ""card_linking"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-486,failed_transfer,failed_transfer,85,1,28,0,"{""label"": ""failed_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-499,get_disposable_virtual_card,get_disposable_virtual_card,95,1,8,0,"{""label"": ""get_disposable_virtual_card"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-063,cash_withdrawal_charge,cash_withdrawal_charge,85,1,61,0,"{""label"": ""cash_withdrawal_charge"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-474,exchange_via_app,exchange_rate,85,0,6,0,"{""label"": ""exchange_rate"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-051,card_payment_fee_charged,extra_charge_on_statement,85,0,5,0,"{""label"": ""extra_charge_on_statement"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-617,terminate_account,terminate_account,95,1,14,0,"{   ""label"": ""terminate_account"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-624,top_up_by_bank_transfer_charge,receiving_money,85,0,8,0,"{""label"": ""receiving_money"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-291,beneficiary_not_allowed,getting_spare_card,10,0,25,0,"{   ""label"": ""getting_spare_card"",   ""confidence"": 10 }"
gpt-4.1-nano,short,banking-470,exchange_via_app,exchange_rate,85,0,6,0,"{""label"": ""exchange_rate"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-522,getting_virtual_card,get_disposable_virtual_card,85,0,5,0,"{   ""label"": ""get_disposable_virtual_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-092,disposable_card_limits,get_disposable_virtual_card,85,0,12,0,"{""label"": ""get_disposable_virtual_card"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-133,order_physical_card,get_physical_card,95,0,11,0,"{   ""label"": ""get_physical_card"",   ""confidence"": 95 }"
gpt-4.1-nano,short,banking-108,extra_charge_on_statement,extra_charge_on_statement,85,1,6,0,"{""label"": ""extra_charge_on_statement"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-370,card_swallowed,card_swallowed,85,1,7,0,"{""label"": ""card_swallowed"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-514,getting_spare_card,getting_spare_card,95,1,6,0,"{""label"": ""getting_spare_card"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-440,direct_debit_payment_not_recognised,reverted_card_payment?,70,0,21,0,"{""label"": ""reverted_card_payment?"", ""confidence"": 70}"
gpt-4.1-nano,short,banking-479,extra_charge_on_statement,extra_charge_on_statement,85,1,14,0,"{""label"": ""extra_charge_on_statement"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-090,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,85,1,20,0,"{   ""label"": ""direct_debit_payment_not_recognised"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-132,lost_or_stolen_phone,lost_or_stolen_phone,95,1,9,0,"{""label"": ""lost_or_stolen_phone"", ""confidence"": 95}"
gpt-4.1-nano,short,banking-279,balance_not_updated_after_bank_transfer,balance_not_updated_after_bank_transfer,85,1,11,0,"{""label"": ""balance_not_updated_after_bank_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-638,top_up_by_cash_or_cheque,balance_not_updated_after_bank_transfer,20,0,10,0,"{   ""label"": ""balance_not_updated_after_bank_transfer"",   ""confidence"": 20 }"
gpt-4.1-nano,short,banking-043,card_linking,card_linking,85,1,7,0,"{""label"": ""card_linking"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-322,card_arrival,card_arrival,85,1,11,0,"{""label"": ""card_arrival"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-313,card_acceptance,card_acceptance,85,1,6,0,"{""label"": ""card_acceptance"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-041,card_delivery_estimate,card_arrival,85,0,10,0,"{   ""label"": ""card_arrival"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-331,card_linking,card_linking,85,1,10,0,"{""label"": ""card_linking"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-110,failed_transfer,failed_transfer,70,1,5,0,"{   ""label"": ""failed_transfer"",   ""confidence"": 70 }"
gpt-4.1-nano,short,banking-575,pending_transfer,failed_transfer,85,0,8,0,"{""label"": ""failed_transfer"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-088,direct_debit_payment_not_recognised,direct_debit_payment_not_recognised,85,1,12,0,"{""label"": ""direct_debit_payment_not_recognised"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-319,card_arrival,card_arrival,85,1,18,0,"{""label"": ""card_arrival"", ""confidence"": 85}"
gpt-4.1-nano,short,banking-542,order_physical_card,order_physical_card,85,1,8,0,"{   ""label"": ""order_physical_card"",   ""confidence"": 85 }"
gpt-4.1-nano,short,banking-661,top_up_reverted,request_refund,95,0,28,0,"{""label"": ""request_refund"", ""confidence"": 95}"
