task,model,id,gold,prediction,confidence,correct,raw
banking77,gpt-4.1-nano,banking-131,lost_or_stolen_phone,lost_or_stolen_phone,95,1,"{   ""label"": ""lost_or_stolen_phone"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-097,exchange_charge,exchange_charge,95,1,"{   ""label"": ""exchange_charge"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-095,edit_personal_details,edit_personal_details,95,1,"{   ""label"": ""edit_personal_details"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-105,exchange_via_app,exchange_rate,85,0,"{""label"": ""exchange_rate"", ""confidence"": 85}"
banking77,gpt-4.1-nano,banking-006,activate_my_card,activate_my_card,95,1,"{   ""label"": ""activate_my_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-082,declined_cash_withdrawal,declined_cash_withdrawal,95,1,"{   ""label"": ""declined_cash_withdrawal"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-031,card_about_to_expire,card_about_to_expire,85,1,"{   ""label"": ""card_about_to_expire"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-027,beneficiary_not_allowed,beneficiary_not_allowed,85,1,"{   ""label"": ""beneficiary_not_allowed"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-137,passcode_forgotten,passcode_forgotten,100,1,"{   ""label"": ""passcode_forgotten"",   ""confidence"": 100 }"
banking77,gpt-4.1-nano,banking-047,card_not_working,card_not_working,95,1,"{   ""label"": ""card_not_working"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-048,card_not_working,change_pin,70,0,"{   ""label"": ""change_pin"",   ""confidence"": 70 }"
banking77,gpt-4.1-nano,banking-228,wrong_amount_of_cash_received,wrong_amount_of_cash_received,95,1,"{   ""label"": ""wrong_amount_of_cash_received"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-121,getting_spare_card,get_spare_card,85,0,"{   ""label"": ""get_spare_card"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-182,top_up_limits,top_up_limits,85,1,"{   ""label"": ""top_up_limits"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-113,fiat_currency_support,exchange_rate,85,0,"{   ""label"": ""exchange_rate"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-096,edit_personal_details,edit_personal_details,85,1,"{   ""label"": ""edit_personal_details"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-081,declined_card_payment,declined_card_payment,85,1,"{   ""label"": ""declined_card_payment"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-160,reverted_card_payment?,reverted_card_payment?,85,1,"{   ""label"": ""reverted_card_payment?"",   ""confidence"": 85 }"
banking77,gpt-4.1-nano,banking-133,order_physical_card,order_physical_card,95,1,"{   ""label"": ""order_physical_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-124,getting_virtual_card,get_virtual_card,95,0,"{   ""label"": ""get_virtual_card"",   ""confidence"": 95 }"
banking77,gpt-4.1-nano,banking-223,why_verify_identity,verify_my_identity,95,0,"{   ""label"": ""verify_my_identity"",   ""confidence"": 95 }"
